class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171104-1/1.wav,91,0.945054945054945,0.945054945054945,0.0,0.945054945054945,0.0
Cargo,cargo/20171104a-2/2.wav,88,0.8181818181818182,0.8181818181818182,0.13636363636363635,0.8181818181818182,0.011363636363636364
Cargo,cargo/20171106-4/4.wav,65,0.9230769230769231,0.9538461538461539,0.046153846153846156,0.9230769230769231,0.03076923076923077
Cargo,cargo/20171107-5/5.wav,41,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171110-7/7.wav,106,0.49056603773584906,0.5377358490566038,0.330188679245283,0.49056603773584906,0.08490566037735849
Cargo,cargo/20171111-8/8.wav,55,0.9272727272727272,0.9454545454545454,0.0,0.9272727272727272,0.01818181818181818
Cargo,cargo/20171111e-9/9.wav,60,0.9666666666666667,0.9833333333333333,0.016666666666666666,0.9666666666666667,0.016666666666666666
Cargo,cargo/20171111f-10/10.wav,58,0.896551724137931,0.9137931034482759,0.0,0.896551724137931,0.0
Cargo,cargo/20171112-12/12.wav,51,0.8823529411764706,0.9215686274509803,0.0784313725490196,0.8823529411764706,0.0
Cargo,cargo/20171113-13/13.wav,69,0.7536231884057971,0.7681159420289855,0.21739130434782608,0.7536231884057971,0.028985507246376812
Cargo,cargo/20171114a-14/14.wav,76,0.8421052631578947,0.881578947368421,0.09210526315789473,0.8421052631578947,0.06578947368421052
Cargo,cargo/20171114c-16/16.wav,58,0.9827586206896551,1.0,0.0,0.9827586206896551,0.017241379310344827
Cargo,cargo/20171114d-17/17.wav,43,0.9534883720930233,0.9534883720930233,0.0,0.9534883720930233,0.0
Cargo,cargo/20171115a-18/18.wav,87,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171115b-19/19.wav,68,0.8823529411764706,0.8970588235294118,0.058823529411764705,0.8823529411764706,0.014705882352941176
Cargo,cargo/20171116-22/002044.wav,71,0.971830985915493,0.971830985915493,0.0,0.971830985915493,0.0
Cargo,cargo/20171117a-24/045829.wav,60,0.9,0.9,0.1,0.9,0.0
