class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171104-1/1.wav,91,0.9120879120879121,0.9560439560439561,0.0,0.9120879120879121,0.0
Cargo,cargo/20171104a-2/2.wav,88,0.7613636363636364,0.8068181818181818,0.14772727272727273,0.7613636363636364,0.022727272727272728
Cargo,cargo/20171106-4/4.wav,65,0.8769230769230769,0.9230769230769231,0.07692307692307693,0.8769230769230769,0.03076923076923077
Cargo,cargo/20171107-5/5.wav,41,0.975609756097561,1.0,0.0,0.975609756097561,0.0
Cargo,cargo/20171110-7/7.wav,106,0.5094339622641509,0.5377358490566038,0.39622641509433965,0.5094339622641509,0.04716981132075472
Cargo,cargo/20171111-8/8.wav,55,0.9636363636363636,0.9818181818181818,0.0,0.9636363636363636,0.01818181818181818
Cargo,cargo/20171111e-9/9.wav,60,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171111f-10/10.wav,58,0.9482758620689655,0.9655172413793104,0.0,0.9482758620689655,0.0
Cargo,cargo/20171112-12/12.wav,51,0.8235294117647058,0.8627450980392157,0.09803921568627451,0.8235294117647058,0.0
Cargo,cargo/20171113-13/13.wav,69,0.7681159420289855,0.8260869565217391,0.14492753623188406,0.7681159420289855,0.028985507246376812
Cargo,cargo/20171114a-14/14.wav,76,0.8552631578947368,0.9078947368421053,0.06578947368421052,0.8552631578947368,0.05263157894736842
Cargo,cargo/20171114c-16/16.wav,58,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171114d-17/17.wav,43,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171115a-18/18.wav,87,0.9770114942528736,0.9885057471264368,0.0,0.9770114942528736,0.0
Cargo,cargo/20171115b-19/19.wav,68,0.5441176470588235,0.6764705882352942,0.3088235294117647,0.5441176470588235,0.07352941176470588
Cargo,cargo/20171116-22/002044.wav,71,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171117a-24/045829.wav,60,0.9,0.9166666666666666,0.08333333333333333,0.9,0.0
Cargo,cargo/20171117b-25/055206.wav,75,0.9333333333333333,0.96,0.02666666666666667,0.9333333333333333,0.0
Cargo,cargo/20171117d-26/225044.wav,44,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171118-27/27.wav,39,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171118a-28/074918.wav,97,0.979381443298969,0.979381443298969,0.010309278350515464,0.979381443298969,0.0
Cargo,cargo/20171119b-29/151043.wav,67,0.8955223880597015,0.9701492537313433,0.0,0.8955223880597015,0.0
Cargo,cargo/20171121-31/031902.wav,204,0.8774509803921569,0.8872549019607843,0.058823529411764705,0.8774509803921569,0.014705882352941176
Cargo,cargo/20171121e-33/202039.wav,69,0.927536231884058,0.927536231884058,0.057971014492753624,0.927536231884058,0.0
Cargo,cargo/20171121f-34/210343.wav,78,0.9487179487179487,0.9487179487179487,0.02564102564102564,0.9487179487179487,0.0
Cargo,cargo/20171122a-35/060651.wav,60,0.9833333333333333,1.0,0.0,0.9833333333333333,0.0
Cargo,cargo/20171122d-38/38.wav,39,0.9230769230769231,0.9487179487179487,0.05128205128205128,0.9230769230769231,0.02564102564102564
Cargo,cargo/20171123c-40/135730.wav,107,0.9719626168224299,0.9719626168224299,0.009345794392523364,0.9719626168224299,0.0
Cargo,cargo/20171124a-41/41.wav,36,0.9722222222222222,1.0,0.0,0.9722222222222222,0.0
Cargo,cargo/20171124c-42/134001.wav,81,0.9876543209876543,1.0,0.0,0.9876543209876543,0.012345679012345678
Cargo,cargo/20171124d-43/161634.wav,70,0.9714285714285714,0.9857142857142858,0.0,0.9714285714285714,0.014285714285714285
Cargo,cargo/20171125b-45/45.wav,72,0.8194444444444444,0.875,0.1111111111111111,0.8194444444444444,0.0
Cargo,cargo/20171125c-46/134833.wav,117,0.9829059829059829,0.9914529914529915,0.008547008547008548,0.9829059829059829,0.008547008547008548
Cargo,cargo/20171125e-48/234924.wav,100,0.91,0.94,0.05,0.91,0.0
Cargo,cargo/20171126a-50/035027.wav,45,0.9111111111111111,0.9111111111111111,0.06666666666666667,0.9111111111111111,0.0
