Generated_File_Name 	Parent_Folder 	Original_File_Name 	Segment_Index
00001.wav	 20171104-1	 1	 32
00002.wav	 20171104-1	 1	 40
00003.wav	 20171104-1	 1	 22
00004.wav	 20171104-1	 1	 34
00005.wav	 20171104-1	 1	 91
00006.wav	 20171104-1	 1	 35
00007.wav	 20171104-1	 1	 6
00008.wav	 20171104-1	 1	 55
00009.wav	 20171104-1	 1	 3
00010.wav	 20171104-1	 1	 68
00011.wav	 20171104-1	 1	 16
00012.wav	 20171104-1	 1	 69
00013.wav	 20171104-1	 1	 11
00014.wav	 20171104-1	 1	 54
00015.wav	 20171104-1	 1	 30
00016.wav	 20171104-1	 1	 45
00017.wav	 20171104-1	 1	 77
00018.wav	 20171104-1	 1	 60
00019.wav	 20171104-1	 1	 74
00020.wav	 20171104-1	 1	 78
00021.wav	 20171104-1	 1	 72
00022.wav	 20171104-1	 1	 62
00023.wav	 20171104-1	 1	 70
00024.wav	 20171104-1	 1	 51
00025.wav	 20171104-1	 1	 33
00026.wav	 20171104-1	 1	 7
00027.wav	 20171104-1	 1	 86
00028.wav	 20171104-1	 1	 38
00029.wav	 20171104-1	 1	 58
00030.wav	 20171104-1	 1	 76
00031.wav	 20171104-1	 1	 81
00032.wav	 20171104-1	 1	 89
00033.wav	 20171104-1	 1	 42
00034.wav	 20171104-1	 1	 28
00035.wav	 20171104-1	 1	 17
00036.wav	 20171104-1	 1	 41
00037.wav	 20171104-1	 1	 47
00038.wav	 20171104-1	 1	 80
00039.wav	 20171104-1	 1	 14
00040.wav	 20171104-1	 1	 46
00041.wav	 20171104-1	 1	 56
00042.wav	 20171104-1	 1	 63
00043.wav	 20171104-1	 1	 8
00044.wav	 20171104-1	 1	 67
00045.wav	 20171104-1	 1	 84
00046.wav	 20171104-1	 1	 90
00047.wav	 20171104-1	 1	 83
00048.wav	 20171104-1	 1	 59
00049.wav	 20171104-1	 1	 79
00050.wav	 20171104-1	 1	 5
00051.wav	 20171104-1	 1	 48
00052.wav	 20171104-1	 1	 53
00053.wav	 20171104-1	 1	 29
00054.wav	 20171104-1	 1	 21
00055.wav	 20171104-1	 1	 25
00056.wav	 20171104-1	 1	 52
00057.wav	 20171104-1	 1	 37
00058.wav	 20171104-1	 1	 64
00059.wav	 20171104-1	 1	 31
00060.wav	 20171104-1	 1	 49
00061.wav	 20171104-1	 1	 27
00062.wav	 20171104-1	 1	 61
00063.wav	 20171104-1	 1	 88
00064.wav	 20171104-1	 1	 50
00065.wav	 20171104-1	 1	 87
00066.wav	 20171104-1	 1	 26
00067.wav	 20171104-1	 1	 43
00068.wav	 20171104-1	 1	 19
00069.wav	 20171104-1	 1	 44
00070.wav	 20171104-1	 1	 15
00071.wav	 20171104-1	 1	 73
00072.wav	 20171104-1	 1	 1
00073.wav	 20171104-1	 1	 36
00074.wav	 20171104-1	 1	 82
00075.wav	 20171104-1	 1	 71
00076.wav	 20171104-1	 1	 23
00077.wav	 20171104-1	 1	 65
00078.wav	 20171104-1	 1	 2
00079.wav	 20171104-1	 1	 4
00080.wav	 20171104-1	 1	 18
00081.wav	 20171104-1	 1	 85
00082.wav	 20171104-1	 1	 75
00083.wav	 20171104-1	 1	 24
00084.wav	 20171104-1	 1	 39
