class_id	class_name	split	recording_key	available_clips_with_history
0	Cargo	Train	20171215a-107/112126	46
0	Cargo	Train	20171126c-52/063408	73
0	Cargo	Train	20171203-65/191824	73
0	Cargo	Train	20171202a-61/054923	67
0	Cargo	Train	20171207-79/010450	47
0	Cargo	Train	20171127-53/231436	69
0	Cargo	Train	20171209b-86/054935	40
0	Cargo	Train	20171125e-48/234924	99
0	Cargo	Train	20171110-7/7	105
0	Cargo	Train	20171201-59/080357	60
0	Cargo	Train	20171210-88/004442	106
0	Cargo	Train	20171104-1/1	90
0	Cargo	Train	20171205h-74/140834	81
0	Cargo	Train	20171210a-89/020139	75
0	Cargo	Train	20171202b-62/62	38
0	Cargo	Train	20171105a-3/3	58
0	Cargo	Train	20171207b-81/032120	102
0	Cargo	Train	20171115a-18/18	86
0	Cargo	Train	20171212c-93/101404	40
0	Cargo	Train	20171118-27/27	38
0	Cargo	Train	20171119b-29/151043	66
0	Cargo	Train	20171124c-42/134001	80
0	Cargo	Train	20171214f-105/215513	91
0	Cargo	Train	20171114a-14/14	18
0	Cargo	Train	20171213f-99/99	36
0	Cargo	Train	20171130c-58/231720	87
0	Cargo	Train	20171126b-51/044753	94
0	Cargo	Train	20171121-31/031902	203
0	Cargo	Train	20171214d-103/103	38
0	Cargo	Train	20171213e-98/231302	112
0	Cargo	Train	20171214e-104/213748	48
0	Cargo	Train	20171201a-60/111402	57
0	Cargo	Train	20171122d-38/38	38
0	Cargo	Train	20171213-95/042800	21
0	Cargo	Train	20171129c-56/075459	107
0	Cargo	Train	20171121f-34/210343	18
0	Cargo	Train	20171204b-68/201125	70
0	Cargo	Train	20171128a-54/080742	78
0	Cargo	Train	20171209c-87/140111	81
0	Cargo	Train	20171115b-19/19	67
0	Cargo	Train	20171205-69/69	35
0	Cargo	Train	20171104a-2/2	87
0	Cargo	Train	20171122b-36/075414	52
0	Cargo	Train	20171111-8/8	54
0	Cargo	Train	20171212d-94/141302	84
0	Cargo	Train	20171212a-91/003918	50
0	Cargo	Train	20171117a-24/045829	59
0	Cargo	Train	20171117d-26/225044	43
0	Cargo	Train	20171214a-101/075400	62
0	Cargo	Train	20171212b-92/040423	71
0	Cargo	Train	20171124d-43/161634	69
0	Cargo	Train	20171207a-80/013045	90
0	Cargo	Train	20171114b-15/15	36
0	Cargo	Train	20171205i-75/202122	43
0	Cargo	Train	20171111e-9/9	59
0	Cargo	Train	20171208-84/005033	72
0	Cargo	Train	20171215b-108/114505	71
0	Cargo	Train	20171205g-73/124454	86
0	Cargo	Train	20171124a-41/41	35
0	Cargo	Train	20171204-66/024305	41
0	Cargo	Train	20171202c-63/123015	23
0	Cargo	Train	20171213d-97/154210	54
0	Cargo	Train	20171204a-67/051220	40
0	Cargo	Train	20171215-106/014609	66
0	Cargo	Train	20171125b-45/45	71
0	Cargo	Train	20171117b-25/055206	74
0	Cargo	Train	20171125c-46/134833	116
0	Cargo	Train	20171114d-17/17	42
0	Cargo	Train	20171202e-64/141802	110
0	Cargo	Train	20171213g-100/234857	69
0	Cargo	Train	20171207f-83/190947	49
0	Cargo	Train	20171126a-50/035027	44
0	Cargo	Train	20171116-22/002044	70
0	Cargo	Train	20171118a-28/074918	96
0	Cargo	Train	20171206a-77/014907	72
0	Cargo	Train	20171206e-78/78	37
0	Cargo	Test	20171205f-72/114551	61
0	Cargo	Test	20171111f-10/10	57
0	Cargo	Test	20171122c-37/113017	92
0	Cargo	Test	20171207d-82/100039	44
0	Cargo	Test	20171123-39/004508	68
0	Cargo	Test	20171215d-110/110	39
0	Cargo	Test	20171213b-96/96	38
0	Cargo	Test	20171112-12/12	50
0	Cargo	Test	20171206-76/004911	98
0	Cargo	Test	20171209-85/001029	107
0	Cargo	Test	20171106-4/4	64
0	Cargo	Test	20171130-57/165031	69
0	Cargo	Test	20171214b-102/091542	87
0	Cargo	Test	20171114c-16/16	57
0	Cargo	Test	20171111g-11/11	87
0	Cargo	Test	20171121e-33/202039	68
0	Cargo	Test	20171215e-111/214529	40
0	Cargo	Val	20171205e-71/111659	54
0	Cargo	Val	20171113-13/13	68
0	Cargo	Val	20171125d-47/214505	41
0	Cargo	Val	20171215c-109/141018	132
0	Cargo	Val	20171205a-70/030344	73
0	Cargo	Val	20171210c-90/124043	73
0	Cargo	Val	20171107-5/5	40
0	Cargo	Val	20171120-30/214753	63
0	Cargo	Val	20171122a-35/060651	59
0	Cargo	Val	20171126-49/023314	49
0	Cargo	Val	20171125-44/44	39
0	Cargo	Val	20171115d-20/20	77
0	Cargo	Val	20171121c-32/111158	146
0	Cargo	Val	20171129-55/000645	69
0	Cargo	Val	20171107b-6/6	96
0	Cargo	Val	20171123c-40/135730	106
1	Tanker	Train	20171126a-153/090000	3
1	Tanker	Train	20171014-143/115751	7
1	Tanker	Train	20170608-113/234244	7
1	Tanker	Train	20180509-204/124919	8
1	Tanker	Train	20180821-230/005202	69
1	Tanker	Train	20160509-1/123109	54
1	Tanker	Train	20170412-96/114857	2
1	Tanker	Train	20170326a-88/203852	3
1	Tanker	Train	20170909-138/191109	51
1	Tanker	Train	20180206a-176/131726	25
1	Tanker	Train	20160724-27/025459	69
1	Tanker	Train	20170409-95/031833	105
1	Tanker	Train	20180413-191/212814	1
1	Tanker	Train	20180430-200/033225	49
1	Tanker	Train	20180602-212/172529	73
1	Tanker	Train	20170529-110/124845	87
1	Tanker	Train	20171015-144/090640	12
1	Tanker	Train	20170802-130/135021	10
1	Tanker	Train	20180425-199/083048	130
1	Tanker	Train	20180402-187/060415	69
1	Tanker	Train	20170327-90/112002	1
1	Tanker	Train	20171223-162/150450	98
1	Tanker	Train	20170728-129/202445	39
1	Tanker	Train	20180915-235/150156	18
1	Tanker	Train	20180418-193/004704	87
1	Tanker	Train	20160511-2/2	29
1	Tanker	Train	20160810a-30/30	5
1	Tanker	Train	20170623-117/232502	16
1	Tanker	Train	20170723a-128/192900	62
1	Tanker	Train	20180630-221/173807	5
1	Tanker	Train	20160526-6/6	33
1	Tanker	Train	20160823-31/041452	60
1	Tanker	Train	20180423-198/063301	5
1	Tanker	Train	20180316a-186/174010	16
1	Tanker	Train	20161005-41/41	7
1	Tanker	Train	20161021-43/43	4
1	Tanker	Train	20170625-118/180527	17
1	Tanker	Train	20171008-141/053342	16
1	Tanker	Train	20160703-21/21	2
1	Tanker	Train	20180604-213/122139	27
1	Tanker	Train	20160907-36/094356	92
1	Tanker	Train	20171023-145/214849	8
1	Tanker	Train	20170102-68/001752	23
1	Tanker	Train	20161218-65/134000	97
1	Tanker	Train	20161121-54/094048	11
1	Tanker	Train	20170621-116/221235	4
1	Tanker	Train	20160710a-24/24	3
1	Tanker	Train	20160515-3/020119	75
1	Tanker	Train	20160519-5/5	8
1	Tanker	Train	20171207-157/150539	69
1	Tanker	Train	20160702-20/20	19
1	Tanker	Train	20170122a-73/032130	2
1	Tanker	Train	20170203-76/002153	7
1	Tanker	Train	20160612-12/12	5
1	Tanker	Train	20160924-38/38	33
1	Tanker	Train	20160710-23/104049	73
1	Tanker	Train	20180311-182/212409	60
1	Tanker	Train	20161101a-49/49	6
1	Tanker	Train	20161022-44/030503	40
1	Tanker	Train	20170605-112/143212	83
1	Tanker	Train	20161030-47/47	3
1	Tanker	Train	20180411-189/081047	1
1	Tanker	Train	20171108-149/011449	103
1	Tanker	Train	20171216-159/160715	62
1	Tanker	Train	20180914-234/024440	3
1	Tanker	Train	20171121-151/180451	2
1	Tanker	Train	20180519-208/103407	35
1	Tanker	Train	20170403-92/044833	5
1	Tanker	Train	20180616-218/225427	9
1	Tanker	Train	20180206-175/104114	16
1	Tanker	Train	20170627-119/111336	102
1	Tanker	Train	20161128-58/005608	85
1	Tanker	Train	20160615-14/14	4
1	Tanker	Train	20170404-94/061416	2
1	Tanker	Train	20170712-125/013547	101
1	Tanker	Train	20160910-37/190037	46
1	Tanker	Train	20170421a-101/064626	38
1	Tanker	Train	20170510-105/041848	64
1	Tanker	Train	20180515-206/031557	46
1	Tanker	Train	20170509-104/105420	102
1	Tanker	Train	20160601-8/8	7
1	Tanker	Train	20170614-115/021303	85
1	Tanker	Train	20160714-25/111759	101
1	Tanker	Train	20170413-97/112445	8
1	Tanker	Train	20180710-225/065625	8
1	Tanker	Train	20171208-158/193936	80
1	Tanker	Train	20180417-192/005456	57
1	Tanker	Train	20170219-82/104435	58
1	Tanker	Train	20180119-167/055815	3
