class_id	class_name	split	recording_key	segment_file	segment_index
0	Cargo	Train	20171215a-107/112126	07143.wav	25
0	Cargo	Train	20171126c-52/063408	03511.wav	67
0	Cargo	Train	20171203-65/191824	04382.wav	23
0	Cargo	Train	20171202a-61/054923	04140.wav	8
0	Cargo	Train	20171207-79/010450	05254.wav	13
0	Cargo	Train	20171127-53/231436	03557.wav	36
0	Cargo	Train	20171209b-86/054935	05781.wav	18
0	Cargo	Train	20171125e-48/234924	03190.wav	69
0	Cargo	Train	20171110-7/7	00519.wav	6
0	Cargo	Train	20171201-59/080357	04017.wav	27
0	Cargo	Train	20171210-88/004442	05944.wav	44
0	Cargo	Train	20171104-1/1	00001.wav	32
0	Cargo	Train	20171205h-74/140834	04936.wav	33
0	Cargo	Train	20171210a-89/020139	06039.wav	71
0	Cargo	Train	20171202b-62/62	04213.wav	11
0	Cargo	Train	20171105a-3/3	00183.wav	39
0	Cargo	Train	20171207b-81/032120	05405.wav	108
0	Cargo	Train	20171115a-18/18	01147.wav	72
0	Cargo	Train	20171212c-93/101404	06261.wav	41
0	Cargo	Train	20171118-27/27	01580.wav	37
0	Cargo	Train	20171119b-29/151043	01714.wav	40
0	Cargo	Train	20171124c-42/134001	02735.wav	40
0	Cargo	Train	20171214f-105/215513	06960.wav	58
0	Cargo	Train	20171114a-14/14	00929.wav	36
0	Cargo	Train	20171213f-99/99	06618.wav	8
0	Cargo	Train	20171130c-58/231720	03940.wav	19
0	Cargo	Train	20171126b-51/044753	03434.wav	51
0	Cargo	Train	20171121-31/031902	01969.wav	59
0	Cargo	Train	20171214d-103/103	06885.wav	4
0	Cargo	Train	20171213e-98/231302	06583.wav	95
0	Cargo	Train	20171214e-104/213748	06941.wav	6
0	Cargo	Train	20171201a-60/111402	04111.wav	40
0	Cargo	Train	20171122d-38/38	02495.wav	20
0	Cargo	Train	20171213-95/042800	06388.wav	16
0	Cargo	Train	20171129c-56/075459	03842.wav	25
0	Cargo	Train	20171121f-34/210343	02265.wav	36
0	Cargo	Train	20171204b-68/201125	04525.wav	23
0	Cargo	Train	20171128a-54/080742	03660.wav	12
0	Cargo	Train	20171209c-87/140111	05852.wav	58
0	Cargo	Train	20171115b-19/19	01194.wav	63
0	Cargo	Train	20171205-69/69	04604.wav	2
0	Cargo	Train	20171104a-2/2	00157.wav	87
0	Cargo	Train	20171122b-36/075414	02349.wav	35
0	Cargo	Train	20171111-8/8	00581.wav	27
0	Cargo	Train	20171212d-94/141302	06307.wav	35
0	Cargo	Train	20171212a-91/003918	06152.wav	34
0	Cargo	Train	20171117a-24/045829	01441.wav	49
0	Cargo	Train	20171117d-26/225044	01540.wav	5
0	Cargo	Train	20171214a-101/075400	06766.wav	44
0	Cargo	Train	20171212b-92/040423	06203.wav	37
0	Cargo	Train	20171124d-43/161634	02877.wav	25
0	Cargo	Train	20171207a-80/013045	05354.wav	13
0	Cargo	Train	20171114b-15/15	00964.wav	33
0	Cargo	Train	20171205i-75/202122	04996.wav	16
0	Cargo	Train	20171111e-9/9	00658.wav	31
0	Cargo	Train	20171208-84/005033	05576.wav	44
0	Cargo	Train	20171215b-108/114505	07180.wav	13
0	Cargo	Train	20171205g-73/124454	04842.wav	61
0	Cargo	Train	20171124a-41/41	02711.wav	4
0	Cargo	Train	20171204-66/024305	04439.wav	19
0	Cargo	Train	20171202c-63/123015	04249.wav	64
0	Cargo	Train	20171213d-97/154210	06458.wav	15
0	Cargo	Train	20171204a-67/051220	04511.wav	33
0	Cargo	Train	20171215-106/014609	07102.wav	52
0	Cargo	Train	20171125b-45/45	02980.wav	67
0	Cargo	Train	20171117b-25/055206	01496.wav	12
0	Cargo	Train	20171125c-46/134833	03059.wav	61
0	Cargo	Train	20171114d-17/17	01060.wav	39
0	Cargo	Train	20171202e-64/141802	04338.wav	56
0	Cargo	Train	20171213g-100/234857	06669.wav	14
0	Cargo	Train	20171207f-83/190947	05570.wav	46
0	Cargo	Train	20171126a-50/035027	03338.wav	20
0	Cargo	Train	20171116-22/002044	01320.wav	51
0	Cargo	Train	20171118a-28/074918	01656.wav	74
0	Cargo	Train	20171206a-77/014907	05191.wav	60
0	Cargo	Train	20171206e-78/78	05210.wav	36
0	Cargo	Train	20171215a-107/112126	07133.wav	10
0	Cargo	Train	20171126c-52/063408	03479.wav	14
0	Cargo	Train	20171203-65/191824	04418.wav	16
0	Cargo	Train	20171202a-61/054923	04130.wav	26
0	Cargo	Train	20171207-79/010450	05265.wav	45
0	Cargo	Train	20171127-53/231436	03564.wav	39
0	Cargo	Train	20171209b-86/054935	05760.wav	2
0	Cargo	Train	20171125e-48/234924	03181.wav	28
0	Cargo	Train	20171110-7/7	00444.wav	19
0	Cargo	Train	20171201-59/080357	04009.wav	49
0	Cargo	Train	20171210-88/004442	05962.wav	83
0	Cargo	Train	20171104-1/1	00077.wav	65
0	Cargo	Train	20171205h-74/140834	04978.wav	74
0	Cargo	Train	20171210a-89/020139	05999.wav	36
0	Cargo	Train	20171202b-62/62	04204.wav	25
0	Cargo	Train	20171105a-3/3	00207.wav	15
0	Cargo	Train	20171207b-81/032120	05418.wav	17
0	Cargo	Train	20171115a-18/18	01162.wav	52
0	Cargo	Train	20171212c-93/101404	06299.wav	32
0	Cargo	Train	20171118-27/27	01601.wav	26
0	Cargo	Train	20171119b-29/151043	01751.wav	55
0	Cargo	Train	20171124c-42/134001	02751.wav	5
0	Cargo	Train	20171214f-105/215513	07011.wav	66
0	Cargo	Train	20171114a-14/14	00939.wav	39
0	Cargo	Train	20171213f-99/99	06631.wav	16
0	Cargo	Train	20171130c-58/231720	03936.wav	35
0	Cargo	Train	20171126b-51/044753	03377.wav	72
0	Cargo	Train	20171121-31/031902	01972.wav	8
0	Cargo	Train	20171214d-103/103	06903.wav	31
0	Cargo	Train	20171213e-98/231302	06562.wav	94
0	Cargo	Train	20171214e-104/213748	06920.wav	16
0	Cargo	Train	20171201a-60/111402	04118.wav	48
0	Cargo	Train	20171122d-38/38	02485.wav	37
0	Cargo	Train	20171213-95/042800	06387.wav	19
0	Cargo	Train	20171129c-56/075459	03807.wav	55
0	Cargo	Train	20171121f-34/210343	02259.wav	45
0	Cargo	Train	20171204b-68/201125	04565.wav	47
0	Cargo	Train	20171128a-54/080742	03639.wav	40
0	Cargo	Train	20171209c-87/140111	05827.wav	19
0	Cargo	Train	20171115b-19/19	01186.wav	49
0	Cargo	Train	20171205-69/69	04611.wav	34
0	Cargo	Train	20171104a-2/2	00092.wav	32
0	Cargo	Train	20171122b-36/075414	02339.wav	12
0	Cargo	Train	20171111-8/8	00565.wav	22
0	Cargo	Train	20171212d-94/141302	06313.wav	42
0	Cargo	Train	20171212a-91/003918	06172.wav	32
0	Cargo	Train	20171117a-24/045829	01419.wav	28
0	Cargo	Train	20171117d-26/225044	01537.wav	33
0	Cargo	Train	20171214a-101/075400	06749.wav	22
0	Cargo	Train	20171212b-92/040423	06228.wav	66
0	Cargo	Train	20171124d-43/161634	02880.wav	17
0	Cargo	Train	20171207a-80/013045	05374.wav	38
0	Cargo	Train	20171114b-15/15	00978.wav	3
0	Cargo	Train	20171205i-75/202122	04987.wav	23
0	Cargo	Train	20171111e-9/9	00626.wav	15
0	Cargo	Train	20171208-84/005033	05616.wav	66
0	Cargo	Train	20171215b-108/114505	07237.wav	61
0	Cargo	Train	20171205g-73/124454	04894.wav	5
0	Cargo	Train	20171124a-41/41	02720.wav	23
0	Cargo	Train	20171204-66/024305	04464.wav	18
0	Cargo	Train	20171202c-63/123015	04243.wav	63
0	Cargo	Train	20171213d-97/154210	06454.wav	13
0	Cargo	Train	20171204a-67/051220	04514.wav	23
0	Cargo	Train	20171215-106/014609	07090.wav	20
0	Cargo	Train	20171125b-45/45	02924.wav	66
0	Cargo	Train	20171117b-25/055206	01455.wav	26
0	Cargo	Train	20171125c-46/134833	03027.wav	92
0	Cargo	Train	20171114d-17/17	01045.wav	11
0	Cargo	Train	20171202e-64/141802	04348.wav	98
0	Cargo	Train	20171213g-100/234857	06651.wav	29
0	Cargo	Train	20171207f-83/190947	05574.wav	14
0	Cargo	Train	20171126a-50/035027	03307.wav	17
0	Cargo	Train	20171116-22/002044	01373.wav	47
0	Cargo	Train	20171118a-28/074918	01618.wav	82
0	Cargo	Train	20171206a-77/014907	05128.wav	22
0	Cargo	Train	20171206e-78/78	05201.wav	37
0	Cargo	Train	20171215a-107/112126	07134.wav	24
0	Cargo	Train	20171126c-52/063408	03505.wav	7
0	Cargo	Train	20171203-65/191824	04373.wav	14
0	Cargo	Train	20171202a-61/054923	04171.wav	51
0	Cargo	Train	20171207-79/010450	05252.wav	27
0	Cargo	Train	20171127-53/231436	03539.wav	51
0	Cargo	Train	20171209b-86/054935	05757.wav	37
0	Cargo	Train	20171125e-48/234924	03180.wav	83
0	Cargo	Train	20171110-7/7	00461.wav	76
0	Cargo	Train	20171201-59/080357	04008.wav	17
0	Cargo	Train	20171210-88/004442	05983.wav	73
0	Cargo	Train	20171104-1/1	00085.wav	13
0	Cargo	Train	20171205h-74/140834	04939.wav	35
0	Cargo	Train	20171210a-89/020139	06014.wav	25
0	Cargo	Train	20171202b-62/62	04200.wav	31
0	Cargo	Train	20171105a-3/3	00181.wav	49
0	Cargo	Train	20171207b-81/032120	05459.wav	96
0	Cargo	Train	20171115a-18/18	01105.wav	28
0	Cargo	Train	20171212c-93/101404	06296.wav	9
0	Cargo	Train	20171118-27/27	01572.wav	28
0	Cargo	Train	20171119b-29/151043	01746.wav	13
0	Cargo	Train	20171124c-42/134001	02789.wav	65
0	Cargo	Train	20171214f-105/215513	07003.wav	18
0	Cargo	Train	20171114a-14/14	00941.wav	46
0	Cargo	Train	20171213f-99/99	06621.wav	2
0	Cargo	Train	20171130c-58/231720	03939.wav	47
0	Cargo	Train	20171126b-51/044753	03418.wav	28
0	Cargo	Train	20171121-31/031902	01836.wav	2
0	Cargo	Train	20171214d-103/103	06878.wav	9
0	Cargo	Train	20171213e-98/231302	06556.wav	91
0	Cargo	Train	20171214e-104/213748	06943.wav	27
0	Cargo	Train	20171201a-60/111402	04100.wav	53
0	Cargo	Train	20171122d-38/38	02494.wav	21
0	Cargo	Train	20171213-95/042800	06396.wav	28
0	Cargo	Train	20171129c-56/075459	03814.wav	63
0	Cargo	Train	20171121f-34/210343	02258.wav	39
0	Cargo	Train	20171204b-68/201125	04587.wav	68
0	Cargo	Train	20171128a-54/080742	03611.wav	28
0	Cargo	Train	20171209c-87/140111	05866.wav	7
0	Cargo	Train	20171115b-19/19	01184.wav	38
0	Cargo	Train	20171205-69/69	04595.wav	15
0	Cargo	Train	20171104a-2/2	00144.wav	13
0	Cargo	Train	20171122b-36/075414	02343.wav	50
0	Cargo	Train	20171111-8/8	00576.wav	49
0	Cargo	Train	20171212d-94/141302	06346.wav	32
0	Cargo	Train	20171212a-91/003918	06164.wav	14
0	Cargo	Train	20171117a-24/045829	01430.wav	29
0	Cargo	Train	20171117d-26/225044	01565.wav	2
0	Cargo	Train	20171214a-101/075400	06779.wav	11
0	Cargo	Train	20171212b-92/040423	06193.wav	60
0	Cargo	Train	20171124d-43/161634	02832.wav	32
0	Cargo	Train	20171207a-80/013045	05369.wav	75
0	Cargo	Train	20171114b-15/15	00974.wav	16
0	Cargo	Train	20171205i-75/202122	04988.wav	28
0	Cargo	Train	20171111e-9/9	00624.wav	45
0	Cargo	Train	20171208-84/005033	05630.wav	57
0	Cargo	Train	20171215b-108/114505	07209.wav	41
0	Cargo	Train	20171205g-73/124454	04819.wav	10
0	Cargo	Train	20171124a-41/41	02725.wav	12
0	Cargo	Train	20171204-66/024305	04472.wav	5
0	Cargo	Train	20171202c-63/123015	04230.wav	59
0	Cargo	Train	20171213d-97/154210	06477.wav	30
0	Cargo	Train	20171204a-67/051220	04495.wav	19
0	Cargo	Train	20171215-106/014609	07064.wav	54
0	Cargo	Train	20171125b-45/45	02992.wav	71
0	Cargo	Train	20171117b-25/055206	01494.wav	23
0	Cargo	Train	20171125c-46/134833	03037.wav	89
0	Cargo	Train	20171114d-17/17	01059.wav	2
0	Cargo	Train	20171202e-64/141802	04304.wav	12
0	Cargo	Train	20171213g-100/234857	06676.wav	53
0	Cargo	Train	20171207f-83/190947	05532.wav	18
0	Cargo	Train	20171126a-50/035027	03321.wav	6
0	Cargo	Train	20171116-22/002044	01321.wav	70
0	Cargo	Train	20171118a-28/074918	01697.wav	54
0	Cargo	Train	20171206a-77/014907	05167.wav	48
0	Cargo	Train	20171206e-78/78	05221.wav	22
0	Cargo	Train	20171215a-107/112126	07131.wav	47
0	Cargo	Train	20171126c-52/063408	03513.wav	16
0	Cargo	Train	20171203-65/191824	04388.wav	21
0	Cargo	Train	20171202a-61/054923	04169.wav	5
0	Cargo	Train	20171207-79/010450	05243.wav	15
0	Cargo	Train	20171127-53/231436	03544.wav	45
0	Cargo	Train	20171209b-86/054935	05761.wav	35
0	Cargo	Train	20171125e-48/234924	03243.wav	6
0	Cargo	Train	20171110-7/7	00474.wav	4
0	Cargo	Train	20171201-59/080357	04035.wav	59
0	Cargo	Train	20171210-88/004442	05971.wav	11
0	Cargo	Train	20171104-1/1	00014.wav	54
0	Cargo	Train	20171205h-74/140834	04970.wav	70
0	Cargo	Train	20171210a-89/020139	06033.wav	3
0	Cargo	Train	20171202b-62/62	04218.wav	24
0	Cargo	Train	20171105a-3/3	00203.wav	23
0	Cargo	Train	20171207b-81/032120	05466.wav	72
0	Cargo	Train	20171115a-18/18	01160.wav	62
0	Cargo	Train	20171212c-93/101404	06300.wav	31
0	Cargo	Train	20171118-27/27	01569.wav	38
0	Cargo	Train	20171119b-29/151043	01763.wav	18
0	Cargo	Train	20171124c-42/134001	02758.wav	45
0	Cargo	Train	20171214f-105/215513	07040.wav	33
0	Cargo	Train	20171114a-14/14	00930.wav	48
0	Cargo	Train	20171213f-99/99	06650.wav	12
0	Cargo	Train	20171130c-58/231720	03917.wav	78
0	Cargo	Train	20171126b-51/044753	03397.wav	63
0	Cargo	Train	20171121-31/031902	01865.wav	30
0	Cargo	Train	20171214d-103/103	06904.wav	15
0	Cargo	Train	20171213e-98/231302	06600.wav	100
0	Cargo	Train	20171214e-104/213748	06930.wav	39
0	Cargo	Train	20171201a-60/111402	04117.wav	52
0	Cargo	Train	20171122d-38/38	02512.wav	23
0	Cargo	Train	20171213-95/042800	06398.wav	29
0	Cargo	Train	20171129c-56/075459	03797.wav	49
0	Cargo	Train	20171121f-34/210343	02256.wav	46
0	Cargo	Train	20171204b-68/201125	04586.wav	55
0	Cargo	Train	20171128a-54/080742	03631.wav	71
0	Cargo	Train	20171209c-87/140111	05811.wav	69
0	Cargo	Train	20171115b-19/19	01188.wav	53
0	Cargo	Train	20171205-69/69	04624.wav	7
0	Cargo	Train	20171104a-2/2	00168.wav	35
0	Cargo	Train	20171122b-36/075414	02380.wav	40
0	Cargo	Train	20171111-8/8	00551.wav	46
0	Cargo	Train	20171212d-94/141302	06351.wav	56
0	Cargo	Train	20171212a-91/003918	06171.wav	35
0	Cargo	Train	20171117a-24/045829	01400.wav	48
0	Cargo	Train	20171117d-26/225044	01542.wav	44
0	Cargo	Train	20171214a-101/075400	06771.wav	19
0	Cargo	Train	20171212b-92/040423	06191.wav	41
0	Cargo	Train	20171124d-43/161634	02868.wav	46
0	Cargo	Train	20171207a-80/013045	05332.wav	15
0	Cargo	Train	20171114b-15/15	00972.wav	13
0	Cargo	Train	20171205i-75/202122	05006.wav	32
0	Cargo	Train	20171111e-9/9	00650.wav	4
0	Cargo	Train	20171208-84/005033	05587.wav	50
0	Cargo	Train	20171215b-108/114505	07184.wav	31
0	Cargo	Train	20171205g-73/124454	04887.wav	65
0	Cargo	Train	20171124a-41/41	02722.wav	22
0	Cargo	Train	20171204-66/024305	04446.wav	14
0	Cargo	Train	20171202c-63/123015	04231.wav	53
0	Cargo	Train	20171213d-97/154210	06479.wav	48
0	Cargo	Train	20171204a-67/051220	04496.wav	21
0	Cargo	Train	20171215-106/014609	07075.wav	18
0	Cargo	Train	20171125b-45/45	02967.wav	3
0	Cargo	Train	20171117b-25/055206	01478.wav	47
0	Cargo	Train	20171125c-46/134833	02993.wav	88
0	Cargo	Train	20171114d-17/17	01064.wav	41
0	Cargo	Train	20171202e-64/141802	04250.wav	57
0	Cargo	Train	20171213g-100/234857	06688.wav	52
0	Cargo	Train	20171207f-83/190947	05539.wav	34
0	Cargo	Train	20171126a-50/035027	03305.wav	30
0	Cargo	Train	20171116-22/002044	01350.wav	4
0	Cargo	Train	20171118a-28/074918	01651.wav	44
0	Cargo	Train	20171206a-77/014907	05153.wav	25
0	Cargo	Train	20171206e-78/78	05204.wav	3
0	Cargo	Train	20171215a-107/112126	07127.wav	21
0	Cargo	Train	20171126c-52/063408	03480.wav	48
0	Cargo	Train	20171203-65/191824	04367.wav	58
0	Cargo	Train	20171202a-61/054923	04125.wav	9
0	Cargo	Train	20171207-79/010450	05283.wav	20
0	Cargo	Train	20171127-53/231436	03538.wav	38
0	Cargo	Train	20171209b-86/054935	05795.wav	13
