class_id	class_name	raw_relative_path	split	single_slices	multi_target_eligible_slices
0	Cargo	Cargo/20171104-1/1.wav	Train	91	90
0	Cargo	Cargo/20171104a-2/2.wav	Train	88	86
0	Cargo	Cargo/20171105a-3/3.wav	Test	59	58
0	Cargo	Cargo/20171106-4/4.wav	Train	65	64
0	Cargo	Cargo/20171107-5/5.wav	Train	41	40
0	Cargo	Cargo/20171107b-6/6.wav	Test	97	96
0	Cargo	Cargo/20171110-7/7.wav	Train	106	105
0	Cargo	Cargo/20171111-8/8.wav	Train	55	54
0	Cargo	Cargo/20171111e-9/9.wav	Train	60	58
0	Cargo	Cargo/20171111f-10/10.wav	Train	58	57
0	Cargo	Cargo/20171111g-11/11.wav	Val	88	87
0	Cargo	Cargo/20171112-12/12.wav	Train	51	49
0	Cargo	Cargo/20171113-13/13.wav	Train	69	68
0	Cargo	Cargo/20171114a-14/14.wav	Train	76	75
0	Cargo	Cargo/20171114b-15/15.wav	Val	37	36
0	Cargo	Cargo/20171114c-16/16.wav	Train	58	57
0	Cargo	Cargo/20171114d-17/17.wav	Train	43	42
0	Cargo	Cargo/20171115a-18/18.wav	Train	87	86
0	Cargo	Cargo/20171115b-19/19.wav	Train	68	67
0	Cargo	Cargo/20171116-22/002044.wav	Train	71	70
0	Cargo	Cargo/20171117a-24/045829.wav	Train	60	58
0	Cargo	Cargo/20171117b-25/055206.wav	Train	75	74
0	Cargo	Cargo/20171117d-26/225044.wav	Train	44	43
0	Cargo	Cargo/20171118-27/27.wav	Train	39	38
0	Cargo	Cargo/20171118a-28/074918.wav	Train	97	96
0	Cargo	Cargo/20171119b-29/151043.wav	Train	67	66
0	Cargo	Cargo/20171120-30/214753.wav	Test	64	63
0	Cargo	Cargo/20171121-31/031902.wav	Train	204	202
0	Cargo	Cargo/20171121c-32/111158.wav	Val	147	146
0	Cargo	Cargo/20171121e-33/202039.wav	Train	69	68
0	Cargo	Cargo/20171121f-34/210343.wav	Train	78	76
0	Cargo	Cargo/20171122a-35/060651.wav	Train	60	59
0	Cargo	Cargo/20171122b-36/075414.wav	Val	53	52
0	Cargo	Cargo/20171122c-37/113017.wav	Val	93	91
0	Cargo	Cargo/20171122d-38/38.wav	Train	39	38
0	Cargo	Cargo/20171123-39/004508.wav	Test	69	68
0	Cargo	Cargo/20171123c-40/135730.wav	Train	107	106
0	Cargo	Cargo/20171124a-41/41.wav	Train	36	35
0	Cargo	Cargo/20171124c-42/134001.wav	Train	81	80
0	Cargo	Cargo/20171124d-43/161634.wav	Train	70	69
0	Cargo	Cargo/20171125-44/44.wav	Val	40	38
0	Cargo	Cargo/20171125b-45/45.wav	Train	72	71
0	Cargo	Cargo/20171125c-46/134833.wav	Train	117	116
0	Cargo	Cargo/20171125d-47/214505.wav	Test	42	41
0	Cargo	Cargo/20171125e-48/234924.wav	Train	100	98
0	Cargo	Cargo/20171126-49/023314.wav	Val	50	49
0	Cargo	Cargo/20171126a-50/035027.wav	Train	45	44
0	Cargo	Cargo/20171126b-51/044753.wav	Train	95	94
0	Cargo	Cargo/20171126c-52/063408.wav	Val	74	73
0	Cargo	Cargo/20171127-53/231436.wav	Val	70	69
0	Cargo	Cargo/20171128a-54/080742.wav	Train	79	77
0	Cargo	Cargo/20171129-55/000645.wav	Test	70	69
0	Cargo	Cargo/20171129c-56/075459.wav	Test	108	107
0	Cargo	Cargo/20171130-57/165031.wav	Train	70	69
0	Cargo	Cargo/20171130c-58/231720.wav	Test	88	86
0	Cargo	Cargo/20171201-59/080357.wav	Train	61	60
0	Cargo	Cargo/20171201a-60/111402.wav	Train	58	57
0	Cargo	Cargo/20171202a-61/054923.wav	Val	68	67
0	Cargo	Cargo/20171202b-62/62.wav	Train	39	38
0	Cargo	Cargo/20171202c-63/123015.wav	Train	72	71
0	Cargo	Cargo/20171202e-64/141802.wav	Train	111	110
0	Cargo	Cargo/20171203-65/191824.wav	Train	74	72
0	Cargo	Cargo/20171204-66/024305.wav	Val	42	41
0	Cargo	Cargo/20171204a-67/051220.wav	Train	41	40
0	Cargo	Cargo/20171204b-68/201125.wav	Train	71	70
0	Cargo	Cargo/20171205-69/69.wav	Train	36	35
0	Cargo	Cargo/20171205a-70/030344.wav	Train	74	73
0	Cargo	Cargo/20171205e-71/111659.wav	Train	55	53
0	Cargo	Cargo/20171205f-72/114551.wav	Val	62	61
0	Cargo	Cargo/20171205g-73/124454.wav	Train	87	86
0	Cargo	Cargo/20171205h-74/140834.wav	Val	82	80
0	Cargo	Cargo/20171205i-75/202122.wav	Train	44	43
0	Cargo	Cargo/20171206-76/004911.wav	Train	99	98
0	Cargo	Cargo/20171206a-77/014907.wav	Train	73	72
0	Cargo	Cargo/20171206e-78/78.wav	Test	38	37
0	Cargo	Cargo/20171207-79/010450.wav	Val	48	46
0	Cargo	Cargo/20171207a-80/013045.wav	Train	92	91
0	Cargo	Cargo/20171207b-81/032120.wav	Train	110	109
0	Cargo	Cargo/20171207d-82/100039.wav	Train	45	44
0	Cargo	Cargo/20171207f-83/190947.wav	Train	50	48
0	Cargo	Cargo/20171208-84/005033.wav	Test	73	72
0	Cargo	Cargo/20171209-85/001029.wav	Train	108	106
0	Cargo	Cargo/20171209b-86/054935.wav	Train	41	40
0	Cargo	Cargo/20171209c-87/140111.wav	Train	82	81
0	Cargo	Cargo/20171210-88/004442.wav	Val	107	106
0	Cargo	Cargo/20171210a-89/020139.wav	Val	76	75
0	Cargo	Cargo/20171210c-90/124043.wav	Train	74	72
0	Cargo	Cargo/20171212a-91/003918.wav	Train	51	49
0	Cargo	Cargo/20171212b-92/040423.wav	Test	72	71
0	Cargo	Cargo/20171212c-93/101404.wav	Train	41	40
0	Cargo	Cargo/20171212d-94/141302.wav	Test	85	84
0	Cargo	Cargo/20171213-95/042800.wav	Test	52	50
0	Cargo	Cargo/20171213b-96/96.wav	Train	39	38
0	Cargo	Cargo/20171213d-97/154210.wav	Train	55	54
0	Cargo	Cargo/20171213e-98/231302.wav	Train	113	112
0	Cargo	Cargo/20171213f-99/99.wav	Train	37	36
0	Cargo	Cargo/20171213g-100/234857.wav	Train	70	68
0	Cargo	Cargo/20171214a-101/075400.wav	Train	63	62
0	Cargo	Cargo/20171214b-102/091542.wav	Train	88	87
0	Cargo	Cargo/20171214d-103/103.wav	Train	39	38
0	Cargo	Cargo/20171214e-104/213748.wav	Train	49	48
0	Cargo	Cargo/20171214f-105/215513.wav	Train	92	91
0	Cargo	Cargo/20171215-106/014609.wav	Train	67	66
0	Cargo	Cargo/20171215a-107/112126.wav	Test	47	45
0	Cargo	Cargo/20171215b-108/114505.wav	Train	72	70
0	Cargo	Cargo/20171215c-109/141018.wav	Test	133	132
0	Cargo	Cargo/20171215d-110/110.wav	Test	40	39
0	Cargo	Cargo/20171215e-111/214529.wav	Train	41	40
1	Tanker	Tanker/20160509-1/123109.wav	Train	55	54
1	Tanker	Tanker/20160511-2/2.wav	Train	30	28
